PS C:\RASScript> get-command get-* -module psadmin |sort name

CommandType     Name                                               Version    Source
-----------     ----                                               -------    ------
Cmdlet          Get-2FAExcludeGWIPList                             1.0        PSAdmin
Cmdlet          Get-2FAExcludeIPList                               1.0        PSAdmin
Cmdlet          Get-2FAExcludeMACList                              1.0        PSAdmin
Cmdlet          Get-2FAExcludeUserGroupList                        1.0        PSAdmin
Cmdlet          Get-2FARadiusAttribute                             1.0        PSAdmin
Cmdlet          Get-2FASetting                                     1.0        PSAdmin
Cmdlet          Get-GW                                             1.0        PSAdmin
Cmdlet          Get-GWDefaultSettings                              1.0        PSAdmin
Cmdlet          Get-GWStatus                                       1.0        PSAdmin
Cmdlet          Get-InvitationEmailSettings                        1.0        PSAdmin
Cmdlet          Get-LicenseDetails                                 1.0        PSAdmin
Cmdlet          Get-PA                                             1.0        PSAdmin
Cmdlet          Get-PAStatus                                       1.0        PSAdmin
Cmdlet          Get-PubAppFileExt                                  1.0        PSAdmin
Cmdlet          Get-PubDefaultSettings                             1.0        PSAdmin
Cmdlet          Get-PubFolder                                      1.0        PSAdmin
Cmdlet          Get-PubItem                                        1.0        PSAdmin
Cmdlet          Get-PubItemClientFilter                            1.0        PSAdmin
Cmdlet          Get-PubItemGWFilter                                1.0        PSAdmin
Cmdlet          Get-PubItemIcon                                    1.0        PSAdmin
Cmdlet          Get-PubItemIPFilter                                1.0        PSAdmin
Cmdlet          Get-PubItemMACFilter                               1.0        PSAdmin
Cmdlet          Get-PubItemUserFilter                              1.0        PSAdmin
Cmdlet          Get-PubRDSApp                                      1.0        PSAdmin
Cmdlet          Get-PubRDSAppServerAttr                            1.0        PSAdmin
Cmdlet          Get-PubRDSDesktop                                  1.0        PSAdmin
Cmdlet          Get-PubVDIApp                                      1.0        PSAdmin
Cmdlet          Get-PubVDIDesktop                                  1.0        PSAdmin
Cmdlet          Get-RASAdminAccount                                1.0        PSAdmin
Cmdlet          Get-RASAdminSession                                1.0        PSAdmin
Cmdlet          Get-RASAgent                                       1.0        PSAdmin
Cmdlet          Get-RASAllowedDevicesSetting                       1.0        PSAdmin
Cmdlet          Get-RASAuthSettings                                1.0        PSAdmin
Cmdlet          Get-RASCertificate                                 1.0        PSAdmin
Cmdlet          Get-RASCustomPermission                            1.0        PSAdmin
Cmdlet          Get-RASFarmSettings                                1.0        PSAdmin
Cmdlet          Get-RASLBSettings                                  1.0        PSAdmin
Cmdlet          Get-RASMailboxSettings                             1.0        PSAdmin
Cmdlet          Get-RASNotification                                1.0        PSAdmin
Cmdlet          Get-RASNotificationDefaults                        1.0        PSAdmin
Cmdlet          Get-RASNotificationEvent                           1.0        PSAdmin
Cmdlet          Get-RASNotificationResource                        1.0        PSAdmin
Cmdlet          Get-RASNotificationScript                          1.0        PSAdmin
Cmdlet          Get-RASPowerPermission                             1.0        PSAdmin
Cmdlet          Get-RASPrintingAutoInstallFont                     1.0        PSAdmin
Cmdlet          Get-RASPrintingSettings                            1.0        PSAdmin
Cmdlet          Get-RASScanningSettings                            1.0        PSAdmin
Cmdlet          Get-RASSessionSetting                              1.0        PSAdmin
Cmdlet          Get-RASSystemSettings                              1.0        PSAdmin
Cmdlet          Get-RASTurboSettings                               1.0        PSAdmin
Cmdlet          Get-RASVersion                                     1.0        PSAdmin
Cmdlet          Get-RDS                                            1.0        PSAdmin
Cmdlet          Get-RDSDefaultSettings                             1.0        PSAdmin
Cmdlet          Get-RDSession                                      1.0        PSAdmin
Cmdlet          Get-RDSGroup                                       1.0        PSAdmin
Cmdlet          Get-RDSGroupMember                                 1.0        PSAdmin
Cmdlet          Get-RDSSchedule                                    1.0        PSAdmin
Cmdlet          Get-RDSScheduleDisable                             1.0        PSAdmin
Cmdlet          Get-RDSScheduleMessage                             1.0        PSAdmin
Cmdlet          Get-RDSScheduleReboot                              1.0        PSAdmin
Cmdlet          Get-RDSStatus                                      1.0        PSAdmin
Cmdlet          Get-Site                                           1.0        PSAdmin
Cmdlet          Get-SiteStatus                                     1.0        PSAdmin
Cmdlet          Get-VDIGuest                                       1.0        PSAdmin
Cmdlet          Get-VDIGuestDefaultSettings                        1.0        PSAdmin
Cmdlet          Get-VDIHost                                        1.0        PSAdmin
Cmdlet          Get-VDIHostStatus                                  1.0        PSAdmin
Cmdlet          Get-VDIPersistentGuest                             1.0        PSAdmin
Cmdlet          Get-VDIPool                                        1.0        PSAdmin
Cmdlet          Get-VDIPoolMember                                  1.0        PSAdmin
Cmdlet          Get-VDISettings                                    1.0        PSAdmin
Cmdlet          Get-VDITemplate                                    1.0        PSAdmin
Cmdlet          Get-VDITemplateLicenseKey                          1.0        PSAdmin
Cmdlet          Get-VDITemplateSettings                            1.0        PSAdmin
Cmdlet          Get-VM                                             1.0        PSAdmin


PS C:\RASScript>
